,fname,lname,nname,height,weight,reach,stance,win,lose,draw
601,Dave,Cochran,,"5' 6""",155 lbs.,--,,26,29,1
602,Dakota,Cochrane,,"5' 8""",155 lbs.,--,,29,12,0
603,Marloes,Coenen,,"5' 9""",145 lbs.,"67.0""",,23,8,0
604,Marc,Cofer,,--,185 lbs.,--,,7,5,0
605,John,Cofer,The Potter,"5' 9""",155 lbs.,--,Southpaw,8,4,0
606,Chris,Coggins,,--,--,--,,7,10,0
607,Felipe,Colares,Cabocao,"5' 8""",135 lbs.,"69.0""",Orthodox,10,3,0
608,Wayne,Cole,,"6' 1""",205 lbs.,--,Orthodox,16,25,0
609,Devin,Cole,,"6' 4""",240 lbs.,--,Orthodox,20,10,1
610,Coltin,Cole,,--,185 lbs.,--,,4,5,0
611,Ivan,Cole,JP,"5' 9""",135 lbs.,--,,2,3,0
612,Mark,Coleman,The Hammer,"6' 1""",205 lbs.,"75.0""",Orthodox,16,10,0
613,Cortez,Coleman,Hollywood,"6' 1""",185 lbs.,--,,13,8,0
614,Clay,Collard,Cassius,"5' 11""",145 lbs.,"73.0""",Orthodox,14,7,0
615,Jamie,Colleen,,"5' 3""",115 lbs.,"65.0""",Orthodox,4,1,0
616,Jake,Collier,The Prototype,"6' 3""",230 lbs.,"78.0""",Orthodox,12,6,0
617,Christian,Colombo,,"6' 5""",265 lbs.,--,Orthodox,8,3,1
618,Wes,Combs,The Soldier,"6' 2""",205 lbs.,--,Orthodox,20,6,0
619,Carlos,Condit,The Natural Born Killer,"6' 2""",170 lbs.,"75.0""",Orthodox,32,14,0
620,Chris,Condo,,"6' 0""",335 lbs.,--,Orthodox,0,1,0
621,Montserrat,Conejo,,"5' 0""",115 lbs.,"61.0""",Southpaw,10,2,0
622,Tristan,Connelly,Boondock,"5' 10""",170 lbs.,"68.0""",Orthodox,14,7,0
623,Marcos,Conrado Jr.,,"6' 2""",220 lbs.,--,Orthodox,5,1,0
624,Jeremiah,Constant,,"6' 1""",240 lbs.,--,Orthodox,11,8,0
625,Jonathan,Contrestano,JT,--,155 lbs.,--,,6,0,0
626,Bob,Cook,Crazy,"5' 9""",170 lbs.,--,Orthodox,5,0,0
627,Mike,Cook,,"6' 1""",205 lbs.,--,Orthodox,13,13,0
628,Chad,Cook,,"6' 2""",205 lbs.,--,,10,12,0
629,TJ,Cook,,--,205 lbs.,--,,13,5,0
630,Dewey,Cooper,The Black Cobra,--,205 lbs.,--,,2,1,0
631,Brett,Cooper,,"6' 0""",170 lbs.,--,Orthodox,23,12,0
632,Bill,Cooper,,--,155 lbs.,--,,2,1,0
633,Bobby,Cooper,Super Duper,"6' 1""",155 lbs.,--,,12,7,0
634,Amanda,Cooper,ABC,"5' 3""",115 lbs.,"64.0""",Switch,3,5,0
635,Kit,Cope,Havoc,"6' 0""",170 lbs.,--,Orthodox,6,7,0
636,Chris,Cope,C-Murder,"6' 0""",170 lbs.,"72.0""",Orthodox,8,4,0
637,Josh,Copeland,Cuddly Bear,"6' 1""",265 lbs.,--,Orthodox,12,4,0
638,Michael,Cora,Kookie Monster,"6' 1""",170 lbs.,"77.0""",Southpaw,4,1,0
639,Akira,Corassani,,"5' 8""",145 lbs.,"68.0""",Orthodox,12,6,0
640,Muhsin,Corbbrey,,"5' 10""",155 lbs.,--,Orthodox,17,9,0
641,Daniel,Cormier,DC,"5' 11""",235 lbs.,"72.0""",Orthodox,22,3,0
642,Clint,Coronel,,--,155 lbs.,--,,2,5,0
643,Henry,Corrales,,"5' 9""",145 lbs.,--,,13,3,0
644,Bethe,Correia,Pitbull,"5' 5""",135 lbs.,"64.0""",Orthodox,11,6,1
645,Wesley,Correira,Cabbage,"6' 3""",260 lbs.,--,Orthodox,20,16,0
646,Tracy,Cortez,,"5' 5""",135 lbs.,"65.0""",Orthodox,9,1,0
647,Reyes,Cortez,JR,"5' 7""",135 lbs.,"68.0""",Orthodox,5,2,0
648,Chad,Corvin,The Brave Warrior,"6' 5""",255 lbs.,--,,5,0,0
649,Louis,Cosce,,"5' 9""",170 lbs.,"71.0""",Orthodox,7,1,0
650,Orion,Cosce,Galaxy,"5' 11""",170 lbs.,"71.0""",Switch,7,1,0
651,Miguel,Cosio,,"6' 4""",205 lbs.,--,,1,13,0
652,Jadson,Costa,,"5' 7""",155 lbs.,--,Orthodox,22,8,0
653,Guilherme,Costa,The Prodigy,--,155 lbs.,--,,7,1,0
654,Paulo,Costa,The Eraser,"6' 1""",205 lbs.,"72.0""",Orthodox,13,2,0
655,Randy,Costa,The Zohan,"5' 9""",135 lbs.,"73.0""",Switch,6,2,0
656,Oscar,Cota,Elevation,"6' 0""",230 lbs.,"72.0""",Orthodox,11,3,0
657,Patrick,Cote,The Predator,"5' 11""",170 lbs.,"75.0""",Orthodox,23,11,0
658,JC,Cottrell,,"5' 9""",155 lbs.,--,Orthodox,17,5,0
659,JR,Coughran,Bam Bam,"5' 6""",145 lbs.,--,Orthodox,4,1,0
