,name,nname,win,lose,draw,nc,height,weight,reach,stance,dob,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
24374,Victoria Leonardo,Fury,8,5,0,0,"5'5""",125lbs,64,Orthodox,"Feb16,1990",3.71,0.41000000000000003,5.14,0.45,1.56,0.27,0.66,0.0
24388,Kimo Leopoldo,,10,7,1,0,"6'3""",235lbs,0,Orthodox,"Jan05,1968",0.76,0.8300000000000001,2.12,0.30000000000000004,4.55,1.0,0.0,2.3
24402,Alberta Cerra Leon,,0,1,0,0,"5'8""",238lbs,0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24416,Jesse Lennox,The Ox,14,4,0,0,"5'9""",170lbs,72,Orthodox,"Mar10,1982",2.69,0.32,3.2,0.64,1.22,0.66,0.63,0.30000000000000004
24430,Jean Francois Lenogue,,16,17,3,0,"6'0""",185lbs,0,Orthodox,"Nov29,1972",1.13,0.34,0.27,0.6000000000000001,0.0,0.0,0.33,0.0
24444,Nik Lentz,The Carny,30,12,2,1,"5'8""",145lbs,68,Orthodox,"Aug13,1984",3.44,0.47000000000000003,3.25,0.5,3.3,0.32,0.43,1.2
24458,Giacomo Lemos,,6,0,0,0,"6'3""",247lbs,75,Orthodox,"Jun23,1989",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24472,Christophe Leninger,,3,4,0,0,"6'0""",200lbs,0,Southpaw,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24486,Gabe Lemley,,13,9,0,0,"5'8""",155lbs,0,Orthodox,--,0.8200000000000001,0.35000000000000003,6.03,0.45,0.0,0.0,0.0,0.0
24500,Stefan Leko,Blitz,0,3,0,0,"6'2""",215lbs,0,Orthodox,"Jun03,1974",2.4,0.43,6.17,0.68,0.0,0.0,0.0,0.0
24514,Amanda Lemos,,11,2,1,0,"5'4""",115lbs,65,Southpaw,"May22,1987",5.14,0.5700000000000001,4.42,0.48,1.22,0.5700000000000001,0.88,0.30000000000000004
24528,Thales Leites,,28,9,0,0,"6'1""",185lbs,78,Orthodox,"Sep06,1981",2.13,0.4,2.99,0.52,2.1,0.27,0.30000000000000004,1.1
24542,Claudia Leite,,8,2,0,0,--,135lbs,0,,"Nov04,1996",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24556,Cheyden Leialoha,Steadfast,6,0,0,0,"5'8""",135lbs,73,Orthodox,"Mar15,1994",1.87,0.28,3.2,0.53,2.0,0.33,0.71,0.0
24570,Sherron Leggett,Rob Roy,21,6,0,0,"5'8""",155lbs,0,Southpaw,"Oct27,1978",2.86,0.51,2.08,0.47000000000000003,5.19,0.8,0.33,0.0
